"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.040180","204.79.197.203","192.168.1.14","TCP","54","443  >  63249 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"4","0.478342","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2600:1901:1:566::","TLSv1.2","117","Application Data"
"5","0.490223","2600:1901:1:566::","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","74","443  >  62702 [ACK] Seq=1 Ack=44 Win=290 Len=0"
"6","0.795890","2600:1901:1:566::","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TLSv1.2","114","Application Data"
"7","0.836808","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2600:1901:1:566::","TCP","74","62702  >  443 [ACK] Seq=44 Ack=41 Win=513 Len=0"
"8","2.873519","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=509 Len=110 [TCP PDU reassembled in 181]"
"9","2.876362","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=1 Ack=111 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"10","2.921135","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=111 Ack=111 Win=508 Len=0"
"11","4.280574","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=509 Len=110 [TCP PDU reassembled in 209]"
"12","4.283845","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=1 Ack=111 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"13","4.327183","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=111 Ack=111 Win=509 Len=0"
"14","7.738914","192.168.1.14","192.168.1.12","TCP","55","62778  >  8008 [ACK] Seq=1 Ack=1 Win=508 Len=1"
"15","7.739046","192.168.1.14","192.168.1.12","TCP","55","62779  >  8008 [ACK] Seq=1 Ack=1 Win=508 Len=1"
"16","7.741308","192.168.1.12","192.168.1.14","TCP","66","8008  >  62778 [ACK] Seq=1 Ack=2 Win=1386 Len=0 SLE=1 SRE=2"
